Leo Points List
Absolute
Label,X,Y,Z,T,R,M,Mag,WD
34
S001I0001,0.08749919931090671676443548676616,0.05418335933069504117831627354462,0.03704439946339636163807895741229,0.00000000000000000000000000000000,100.00002675099999294161534635350108,0.00000000000000000000000000000000,10.000000,0.00530097
S001I0002,0.08755128427205755015094723603397,0.05983722165854075958346669494858,0.03704439946339636163807895741229,0.00000000000000000000000000000000,100.00002675099999294161534635350108,0.00000000000000000000000000000000,10.000000,0.00530138
S001I0003,0.08760336923320839741524679311624,0.06549108398638647798861711635254,0.03704439946339636163807895741229,0.00000000000000000000000000000000,100.00002675099999294161534635350108,0.00000000000000000000000000000000,10.000000,0.00530179
S001I0004,0.08765545419435924467954635019851,0.07114494631423219639376753775650,0.03704439946339636163807895741229,0.00000000000000000000000000000000,100.00002675099999294161534635350108,0.00000000000000000000000000000000,10.000000,0.00530221
S001I0005,0.08770753915551007806605809946632,0.07679880864207791479891795916046,0.03704439946339636163807895741229,0.00000000000000000000000000000000,100.00002675099999294161534635350108,0.00000000000000000000000000000000,10.000000,0.00530262
S002I0001,0.07000000000000000666133814775094,0.10000000000000000555111512312578,0.03704439946339636163807895741229,0.00000000000000000000000000000000,100.00002675099999294161534635350108,0.00000000000000000000000000000000,10.000000,0.00516890
S002I0002,0.07000000000000000666133814775094,0.09500000000000000111022302462516,0.03704439946339636163807895741229,0.00000000000000000000000000000000,100.00002675099999294161534635350108,0.00000000000000000000000000000000,10.000000,0.00522556
S002I0003,0.07000000000000000666133814775094,0.08999999999999999666933092612453,0.03704439946339636163807895741229,0.00000000000000000000000000000000,100.00002675099999294161534635350108,0.00000000000000000000000000000000,10.000000,0.00528222
S002I0004,0.07000000000000000666133814775094,0.08500000000000000610622663543836,0.03704439946339636163807895741229,0.00000000000000000000000000000000,100.00002675099999294161534635350108,0.00000000000000000000000000000000,10.000000,0.00533888
S002I0005,0.07000000000000000666133814775094,0.08000000000000000166533453693773,0.03704439946339636163807895741229,0.00000000000000000000000000000000,100.00002675099999294161534635350108,0.00000000000000000000000000000000,10.000000,0.00539554
S002I0006,0.08333333333333334258519187187630,0.08000000000000000166533453693773,0.03704439946339636163807895741229,0.00000000000000000000000000000000,100.00002675099999294161534635350108,0.00000000000000000000000000000000,10.000000,0.00531999
S002I0007,0.08333333333333334258519187187630,0.08500000000000000610622663543836,0.03704439946339636163807895741229,0.00000000000000000000000000000000,100.00002675099999294161534635350108,0.00000000000000000000000000000000,10.000000,0.00530111
S002I0008,0.08333333333333334258519187187630,0.08999999999999999666933092612453,0.03704439946339636163807895741229,0.00000000000000000000000000000000,100.00002675099999294161534635350108,0.00000000000000000000000000000000,10.000000,0.00528222
S002I0009,0.08333333333333334258519187187630,0.09500000000000000111022302462516,0.03704439946339636163807895741229,0.00000000000000000000000000000000,100.00002675099999294161534635350108,0.00000000000000000000000000000000,10.000000,0.00526333
S002I0010,0.08333333333333334258519187187630,0.10000000000000000555111512312578,0.03704439946339636163807895741229,0.00000000000000000000000000000000,100.00002675099999294161534635350108,0.00000000000000000000000000000000,10.000000,0.00524445
S002I0011,0.09666666666666666463125778818721,0.10000000000000000555111512312578,0.03704439946339636163807895741229,0.00000000000000000000000000000000,100.00002675099999294161534635350108,0.00000000000000000000000000000000,10.000000,0.00531999
S002I0012,0.09666666666666666463125778818721,0.09500000000000000111022302462516,0.03704439946339636163807895741229,0.00000000000000000000000000000000,100.00002675099999294161534635350108,0.00000000000000000000000000000000,10.000000,0.00530111
S002I0013,0.09666666666666666463125778818721,0.08999999999999999666933092612453,0.03704439946339636163807895741229,0.00000000000000000000000000000000,100.00002675099999294161534635350108,0.00000000000000000000000000000000,10.000000,0.00528222
